"sentence","rating"
"Atraso na entrega e total descaso","negative"
"Entrei em contato para saber qual era o problema com a minha entrega. Fui ignorado com mais e-mails de tentativa de telefonema realizados.","negative"
"Não recebi meu estorno","negative"
"produto errado!!!","negative"
"isso é um absurdo. Um verdadeiro descaso com o consumidor e propaganda enganosa","negative"
"Vou fazer uma reclamação","negative"
"Estou muito arrependido pela compra!","negative"
"Pessimo","negative"
"Estou muito instatisfeita!","negative"
"Não recomendo","negative"
"rastreamento do produto nao encontrado","negative"
"Absurdo!","negative"
"Enganado","negative"
"enviaram o produto errado","negative"
"gostaria de saber se existem mais cores","neutral"
"adorei o produto","positive"
"sugestão","neutral"
"procurando","neutral"
"excelente","positive"
"Fiquei satisfeito","positive"
"Recomendo","positive"
"Muito bom... meu marido amou o presente! Super recomendo.","positive"
"Produto atendeu as minha expectativas. Chegou antes da data prevista. Recomendo","positive"
"Produto muito bom, entrega rápida. Aquisição com excelente custo beneficio","positive"
"Produto entregue em perfeita qualidade e entrega antes do prazo.","positive"
"Boa tarde tem na cor violeta?","neutral"
"Ok. mas existe a possibilidade de dar uma entrada e parcelar no cartão de credito?","neutral"
"Maravilhoso","positive"
"Gostei muito do produto","positive"
"A entrega da loja é sempre muito rápida, eu indico sempre as pessoas a comprar pelo site. Muito bom!","positive"
"Ótima aquisição.","positive"
"Adorei o produto de ótima qualidade e chegou super rápido!","positive"
"Excelente ! Entrega rápida! Correspondeu as expectativas!","positive"
"Adoramos, recebi antes do tempo previsto. super indico","positive"
"Comprei uma jaqueta jeans pelo site recentemente, e na primeira lavagem a jaqueta ficou toda manchada, ficou horrível, como se tivesse velha e suja, impossível de usar.","negative"
"Atendimento horrível e falta de solução","negative"
"Veio um produto inutilizável.","negative"
"O tempo de espera não foi grande, mas em compensação, o atendimento foi horrível. Poucas propostas pra resolver meu problema, entonação desdenhosa","negative"
"porém com menos de seis meses esse tênis rasgou","negative"
"preciso de ajuda urgente","negative"
"Decepcionado. Tenho provas para comprovar tudo relatado aqui","negative"
"Respeito e compromisso com o cliente","positive"
"Mostrando que o cliente é o seu maior patrimonio, Parabens para a loja, como no site não há um espaço para elogios resolvi fazer aqui","positive",
"Dúvida","neutral"
"Elogios","positive"
"Enfim só quero elogiar. Elogios também deveriam ser cotidiano. Facilitou muito minha vida, e a praticidade me cativou. Estão de parabéns! E desejo muito sucesso a todos que integram essa maravilha empresa. Continue com esse serviço tão competente","positive"
"Cancelamento","negative"
"Confirmação","neutral"
"Informação","neutral"
"Produto conforme especificado no site. Entrega rápida e eficiente.","positive"
"O produto atende as expectativas.","positive"
"Funcional, rápido e eficiente. Recomendo. Quem comprar, terá a mesma impressão que eu tive. O tamanho também é ótimo para transportar.","positive"
"infelizmente ele veio com defeito e não funciona.","negative"
"Farei uma reclamação no reclame aqui","negative"
"Medidas drásticas, terei que acionar o procon","negative"
"Reclamação","negative"
"Troca de produto","negative"